note_id,machine_id,machine_type,timestamp,category,failure_type_hint,urgency,description
N0001,M-03,M,2026-02-28 01:00,mechanical,OSF,high,Torque spiked to 59 Nm during load-bearing pass. Reduced feed rate as precaution per SOP section 5.
N0002,L-02,L,2026-03-03 20:00,software,,medium,"[morning shift, OY] PLC logged a non-critical startup warning, no action required yet. Will revisit during next scheduled PM."
N0003,H-03,H,2026-03-20 13:00,mechanical,,medium,"[morning shift, TF] Routine lubrication performed ahead of schedule, no issues noted. Consistent with prior shift notes."
N0004,L-03,L,2026-06-02 18:00,safety,RNF,high,"Unexplained fault, all readings nominal prior to stop, treating as stochastic occurrence."
N0005,M-01,M,2026-06-28 17:00,electrical,PWF,high,"Breaker tripped once this shift, reset and monitoring. Suspect loose connection near junction box."
N0006,M-04,M,2026-03-08 02:00,electrical,HDF,medium,Cooling fan noticeably underperforming compared to baseline. Will recheck next cycle before flagging further.
N0007,H-03,H,2026-01-23 03:00,electrical,,low,"Ran diagnostic on drive controller as precaution, no anomalies found. Flagging for supervisor awareness only."
N0008,H-02,H,2026-06-25 02:00,software,,medium,"Data logger missed a few readings due to network hiccup, backfilled from buffer. Will revisit during next scheduled PM."
N0009,H-02,H,2026-05-01 02:00,safety,,low,"Operator reported faint odor near motor housing, paused for inspection, cleared."
N0010,L-02,L,2026-06-28 14:00,electrical,HDF,medium,"Process/air temperature delta measured at only 3.7C, below expected dissipation range. Checked airflow path, minor dust buildup cleared."
N0011,M-02,M,2026-01-20 06:00,software,,high,"PLC logged a non-critical startup warning, no action required yet. Consistent with prior shift notes."
N0012,M-02,M,2026-04-29 12:00,mechanical,,medium,"Small coolant weep near spindle seal, scheduled for replacement, not urgent. Consistent with prior shift notes."
N0013,H-02,H,2026-04-12 07:00,electrical,PWF,high,"Breaker tripped once this shift, reset and monitoring. No repeat occurrence yet, logging for pattern tracking."
N0014,L-03,L,2026-03-18 00:00,mechanical,TWF,medium,Tool wear reading at 79% of rated life on the cutting edge. Operator flagged rough finish and slight burring on edges. Recommend insert swap before next shift.
N0015,L-03,L,2026-05-16 19:00,software,,low,"Firmware update applied during scheduled downtime, verifying stability."
N0016,L-01,L,2026-01-20 06:00,software,,low,"Calibration offset flagged as stale by control software, recalibration recommended. Consistent with prior shift notes."
N0017,L-02,L,2026-06-11 00:00,electrical,HDF,medium,"[night shift, MJ] Cooling fan noticeably underperforming compared to baseline. Checked airflow path, minor dust buildup cleared."
